,qry_id,repeat_id,matching_repeat,matching_class,reference_length,merged_qrystart,merged_qryend,mergedfraglength,perc_div,perc_del,perc_insert,Gene,isoform
35,NM_001201159.1,EnSpm-9_DR,C,DNA/CMC-EnSpm,8620,100,184,85,12.2,4.7,2.1,"NM_001201159.1 Ictalurus punctatus SH3 domain binding glutamate rich protein like 2 (sh3bgrl2), mRNA",sh3bgrl2
36,NM_001201187.1,SINE2-4_DR,C,SINE/tRNA-V-RTE,371,368,556,189,21.9,9,1,"NM_001201187.1 Ictalurus punctatus chromosome 1 open reading frame, human C1orf43 (c1h1orf43), mRNA",c1h1orf43
37,NM_001201319.1,Gypsy61-I_DR,C,LTR/Gypsy,6870,937,1043,107,20.7,7.5,0.9,"NM_001201319.1 Ictalurus punctatus BCAS2 pre-mRNA processing factor (bcas2), mRNA",bcas2
38,NM_001257112.1,DNA-TA-4_DR,+,DNA/TcMar,9795,1876,1955,80,17.7,1.2,1.2,"NM_001257112.1 Ictalurus punctatus coactivator associated arginine methyltransferase 1 (carm1), mRNA",carm1
39,XM_017449945.1,Dada-tL_DR,C,DNA/Dada,10407,9,89,81,27.4,0,5.2,"XM_017449945.1 PREDICTED: Ictalurus punctatus NECAP endocytosis associated 2 (necap2), mRNA",necap2
40,XM_017449945.1,EnSpm-7_DR,C,DNA/CMC-EnSpm,11034,824,937,114,22.2,0,2.8,"XM_017449945.1 PREDICTED: Ictalurus punctatus NECAP endocytosis associated 2 (necap2), mRNA",necap2
41,XM_017449960.1,BEL-62_DRe-LTR,+,LTR/Pao,696,927,1007,81,15.7,13.6,5.8,"XM_017449960.1 PREDICTED: Ictalurus punctatus transforming protein RhoA-like (LOC108254710), mRNA",LOC108254710
42,XM_017449981.1,Tc1-4_DR,C,DNA/TcMar-Tc1,1572,355,829,475,28.1,11.2,6.5,"XM_017449981.1 PREDICTED: Ictalurus punctatus ribosomal protein S6 kinase C1 (rps6kc1), transcript variant X5, mRNA",rps6kc1
43,XM_017450017.1,hAT-N85_DR,C,DNA/hAT-Charlie,194,1289,1462,174,31.7,9.2,2.1,"XM_017450017.1 PREDICTED: Ictalurus punctatus transcription factor HES-5-like (LOC108254743), mRNA",LOC108254743
44,XM_017450022.1,Mariner-N13_DR,+,DNA/TcMar-Tc1,1141,4097,4842,746,26.2,3.55,3.95,"XM_017450022.1 PREDICTED: Ictalurus punctatus C-type lectin domain family 11 member A-like (LOC108254747), mRNA",LOC108254747
45,XM_017450022.1,Mariner-17_DR,C,DNA/TcMar-Tc1,1600,388,590,203,25.4,1.5,1,"XM_017450022.1 PREDICTED: Ictalurus punctatus C-type lectin domain family 11 member A-like (LOC108254747), mRNA",LOC108254747
46,XM_017450049.1,Mariner-N13_DR,+,DNA/TcMar-Tc1,1141,1935,2505,571,21.6,7.5,4.2,"XM_017450049.1 PREDICTED: Ictalurus punctatus interleukin-17 receptor C-like (LOC108254762), mRNA",LOC108254762
47,XM_017450066.1,Helitron-1N1_DR,+,RC/Helitron,989,1553,1958,406,24.9,3.5,2.2,"XM_017450066.1 PREDICTED: Ictalurus punctatus uncharacterized protein C1orf106 homolog (LOC108254772), transcript variant X1, mRNA",LOC108254772
48,XM_017450066.1,Helitron-1N2_DR,+,RC/Helitron,2194,404,1542,1139,26.75,7.55,0.3,"XM_017450066.1 PREDICTED: Ictalurus punctatus uncharacterized protein C1orf106 homolog (LOC108254772), transcript variant X1, mRNA",LOC108254772
49,XM_017450066.1,DNA-TTAA-3_DR,+,DNA,1179,35,144,110,20.1,4.5,9.5,"XM_017450066.1 PREDICTED: Ictalurus punctatus uncharacterized protein C1orf106 homolog (LOC108254772), transcript variant X1, mRNA",LOC108254772
50,XM_017450073.1,hAT-N151_DR,C,DNA/hAT-Ac,534,4780,4872,93,11,0,12.1,"XM_017450073.1 PREDICTED: Ictalurus punctatus uncharacterized protein C1orf106 homolog (LOC108254772), transcript variant X7, mRNA",LOC108254772
51,XM_017450115.1,Zisupton-7_DR,+,DNA/Zisupton,17082,595,684,90,19.5,8.9,3.2,"XM_017450115.1 PREDICTED: Ictalurus punctatus methyltransferase like 21B (mettl21b), mRNA",mettl21b
52,XM_017450159.1,DNA-N17_DR,C,DNA,367,2738,2936,199,20,14.6,4.6,"XM_017450159.1 PREDICTED: Ictalurus punctatus uncharacterized LOC108254822 (LOC108254822), mRNA",LOC108254822
53,XM_017450159.1,EnSpm-3_DR,C,DNA/CMC-EnSpm,8448,537,643,107,15.8,10.05,1.5,"XM_017450159.1 PREDICTED: Ictalurus punctatus uncharacterized LOC108254822 (LOC108254822), mRNA",LOC108254822
54,XM_017450159.1,DNA-8-11B_DR,C,DNA/hAT-Blackjack,1220,450,536,87,9.3,0,1.2,"XM_017450159.1 PREDICTED: Ictalurus punctatus uncharacterized LOC108254822 (LOC108254822), mRNA",LOC108254822
55,XM_017450254.1,hAT-N48B_DR,+,DNA/hAT-Ac,2140,495,590,96,16,0,2.1,"XM_017450254.1 PREDICTED: Ictalurus punctatus dual specificity phosphatase 7 (dusp7), mRNA",dusp7
56,XM_017450329.1,HATN16_DR,+,DNA/hAT-Charlie,944,7530,7646,117,21.7,6.8,1.6,"XM_017450329.1 PREDICTED: Ictalurus punctatus cyclin-dependent kinase 19 (LOC108254892), transcript variant X1, mRNA",LOC108254892
57,XM_017450329.1,CryptonV-1_DR,+,DNA/Crypton-V,17873,7497,7587,91,26.4,0,0,"XM_017450329.1 PREDICTED: Ictalurus punctatus cyclin-dependent kinase 19 (LOC108254892), transcript variant X1, mRNA",LOC108254892
58,XM_017450329.1,DNA-N36_DR,+,DNA,623,5606,5793,188,21.6,0,1.6,"XM_017450329.1 PREDICTED: Ictalurus punctatus cyclin-dependent kinase 19 (LOC108254892), transcript variant X1, mRNA",LOC108254892
59,XM_017450340.1,CryptonV-N6_DR,C,DNA/Crypton-V,562,1900,1992,93,27.8,1.1,3.3,"XM_017450340.1 PREDICTED: Ictalurus punctatus calcium/calmodulin-dependent protein kinase type 1-like (LOC108254900), mRNA",LOC108254900
60,XM_017450345.1,Mariner-2_DR,C,DNA/TcMar-Tc1,1481,6969,7176,208,22.5,2.9,5.9,"XM_017450345.1 PREDICTED: Ictalurus punctatus ring finger protein 123 (rnf123), transcript variant X1, mRNA",rnf123
61,XM_017450361.1,DNA-6-N5B_DR,+,DNA,3523,423,544,122,28.5,4.1,5,"XM_017450361.1 PREDICTED: Ictalurus punctatus peroxisome proliferator activated receptor gamma (pparg), transcript variant X1, mRNA",pparg
62,XM_017450361.1,hAT-N52_DR,+,DNA/hAT-Ac,821,4248,4724,477,9.1,9.15,0.45,"XM_017450361.1 PREDICTED: Ictalurus punctatus peroxisome proliferator activated receptor gamma (pparg), transcript variant X1, mRNA",pparg
63,XM_017450398.1,hAT-N109_DR,C,DNA/hAT-Ac,653,82,255,174,14.4,0,16,"XM_017450398.1 PREDICTED: Ictalurus punctatus choline/ethanolamine phosphotransferase 1 (cept1), transcript variant X1, mRNA",cept1
64,XM_017450463.1,SINE2-3_DR,C,SINE/tRNA-V-RTE,368,971,1081,111,23.3,9,3.4,"XM_017450463.1 PREDICTED: Ictalurus punctatus nuclear transcription factor Y subunit alpha-like (LOC108254944), transcript variant X5, mRNA",LOC108254944
65,XM_017450487.1,SINE2-3B_DR,+,SINE/tRNA-V,351,2813,2988,176,22.3,8.5,3.2,"XM_017450487.1 PREDICTED: Ictalurus punctatus EF-hand and coiled-coil domain containing 1 (efcc1), transcript variant X1, mRNA",efcc1
66,XM_017450506.1,Mariner-19_DR,C,DNA/TcMar-Tc1,1227,1212,1584,373,23.8,9.1,4.4,"XM_017450506.1 PREDICTED: Ictalurus punctatus pre-mRNA-splicing factor ISY1 homolog (LOC108254962), mRNA",LOC108254962
67,XM_017450515.1,Zisupton-6_DR,+,DNA/Zisupton,22116,705,823,119,17.3,15.1,3,"XM_017450515.1 PREDICTED: Ictalurus punctatus leucine rich repeats and immunoglobulin like domains 1 (lrig1), mRNA",lrig1
68,XM_017450519.1,HE1_DR1,+,SINE/tRNA-V-RTE,402,2093,2241,149,24.1,4.2,5.3,"XM_017450519.1 PREDICTED: Ictalurus punctatus heparan sulfate-glucosamine 3-sulfotransferase 6 (hs3st6), mRNA",hs3st6
69,XM_017450519.1,MuDR-2_DR,+,DNA/MULE-MuDR,23933,2051,2179,129,24.3,10.1,4.4,"XM_017450519.1 PREDICTED: Ictalurus punctatus heparan sulfate-glucosamine 3-sulfotransferase 6 (hs3st6), mRNA",hs3st6
70,XM_017450550.1,Mariner-19_DR,+,DNA/TcMar-Tc1,1227,1281,1416,136,24.4,3.7,0.7,"XM_017450550.1 PREDICTED: Ictalurus punctatus fumarylacetoacetate hydrolase domain containing 1 (fahd1), transcript variant X1, mRNA",fahd1
71,XM_017450550.1,Mariner-19_DR,C,DNA/TcMar-Tc1,1227,1197,1279,83,22.9,0,0,"XM_017450550.1 PREDICTED: Ictalurus punctatus fumarylacetoacetate hydrolase domain containing 1 (fahd1), transcript variant X1, mRNA",fahd1
72,XM_017450550.1,Mariner-17_DR,+,DNA/TcMar-Tc1,1600,852,1064,213,25.7,2.4,3.3,"XM_017450550.1 PREDICTED: Ictalurus punctatus fumarylacetoacetate hydrolase domain containing 1 (fahd1), transcript variant X1, mRNA",fahd1
73,XM_017450553.1,DNA-N36_DR,+,DNA,623,5791,5938,148,21.9,26.4,1.1,"XM_017450553.1 PREDICTED: Ictalurus punctatus band 4.1-like protein 1 (LOC108254997), transcript variant X1, mRNA",LOC108254997
74,XM_017450564.1,DNA-N45_DR,+,DNA/CMC-EnSpm,713,6072,6176,105,15.8,0,0,"XM_017450564.1 PREDICTED: Ictalurus punctatus nischarin (nisch), transcript variant X1, mRNA",nisch
75,XM_017450568.1,Tc1-5_DR,C,DNA/TcMar-Tc1,1234,2342,2542,201,30.7,6.5,2.9,"XM_017450568.1 PREDICTED: Ictalurus punctatus target of myb1 like 2 membrane trafficking protein (tom1l2), transcript variant X1, mRNA",tom1l2
76,XM_017450623.1,Gypsy-169-I_DR,C,LTR/Gypsy,4338,182,415,234,31.6,1.3,0,"XM_017450623.1 PREDICTED: Ictalurus punctatus trace amine-associated receptor 13c-like (LOC108255028), mRNA",LOC108255028
77,XM_017450623.1,RTEX-1_DR,C,LINE/RTE-X,4732,666,922,257,23.05,1.75,0.3,"XM_017450623.1 PREDICTED: Ictalurus punctatus trace amine-associated receptor 13c-like (LOC108255028), mRNA",LOC108255028
78,XM_017450626.1,SINE3-1,+,SINE/5S-Deu-L2,590,2435,2596,162,20.6,0,1.2,"XM_017450626.1 PREDICTED: Ictalurus punctatus CDK5 regulatory subunit associated protein 1 (cdk5rap1), transcript variant X1, mRNA",cdk5rap1
79,XM_017450637.1,Mariner-19_DR,+,DNA/TcMar-Tc1,1227,201,318,118,19.3,0,3.5,"XM_017450637.1 PREDICTED: Ictalurus punctatus trace amine-associated receptor 13c-like (LOC108255032), mRNA",LOC108255032
80,XM_017450651.1,Mariner-19_DR,+,DNA/TcMar-Tc1,1227,2348,2448,101,22.4,5.9,2.9,"XM_017450651.1 PREDICTED: Ictalurus punctatus GDP-mannose pyrophosphorylase B (gmppb), transcript variant X1, mRNA",gmppb
81,XM_017450657.1,DNA-N17_DR,C,DNA,367,3400,3504,105,25.8,0,4,"XM_017450657.1 PREDICTED: Ictalurus punctatus voltage-gated potassium channel subunit beta-2 (LOC108255041), transcript variant X1, mRNA",LOC108255041
82,XM_017450670.1,Mariner-17_DR,+,DNA/TcMar-Tc1,1600,2120,2255,136,19.1,1.5,0,"XM_017450670.1 PREDICTED: Ictalurus punctatus voltage-gated potassium channel subunit beta-2 (LOC108255041), transcript variant X13, mRNA",LOC108255041
83,XM_017450674.1,DNA-X-10_DR,C,DNA,1507,2794,2904,111,23.6,0,12.1,"XM_017450674.1 PREDICTED: Ictalurus punctatus vacuolar fusion protein MON1 homolog B-like (LOC108255044), transcript variant X1, mRNA",LOC108255044
84,XM_017450674.1,hAT-N79_DR,+,DNA/hAT-Ac,2089,3206,3294,89,23.3,0,3.5,"XM_017450674.1 PREDICTED: Ictalurus punctatus vacuolar fusion protein MON1 homolog B-like (LOC108255044), transcript variant X1, mRNA",LOC108255044
85,XM_017450674.1,DNA-N32_DR,C,DNA,665,4210,4426,217,15.3,24.4,3.5,"XM_017450674.1 PREDICTED: Ictalurus punctatus vacuolar fusion protein MON1 homolog B-like (LOC108255044), transcript variant X1, mRNA",LOC108255044
86,XM_017450703.1,hAT-N159_DR,+,DNA/hAT-Ac,1822,3775,3924,150,19.2,7.7,0,"XM_017450703.1 PREDICTED: Ictalurus punctatus LIM domain and actin-binding protein 1-like (LOC108255060), transcript variant X1, mRNA",LOC108255060
87,XM_017450723.1,hAT-30N1_DR,+,DNA/hAT-Ac,2033,1671,1778,108,9.3,0,0,"XM_017450723.1 PREDICTED: Ictalurus punctatus phosphatidylinositol 5-phosphate 4-kinase type-2 gamma-like (LOC108255072), mRNA",LOC108255072
88,XM_017450725.1,Tc1-7_DR,+,DNA/TcMar-Tc1,1646,143,976,834,19.5,6.566666667,4.366666667,"XM_017450725.1 PREDICTED: Ictalurus punctatus G-protein coupled receptor 182-like (LOC108255073), transcript variant X2, mRNA",LOC108255073
89,XM_017450738.1,DNA-AT-2_DR,+,DNA,1441,69,181,113,17.8,4.4,5.4,"XM_017450738.1 PREDICTED: Ictalurus punctatus TBC1 domain family member 20-like (LOC108255081), transcript variant X1, mRNA",LOC108255081
90,XM_017450750.1,Mariner-N13_DR,+,DNA/TcMar-Tc1,1141,417,844,428,19.85,3.7,0.9,"XM_017450750.1 PREDICTED: Ictalurus punctatus RNA binding motif protein 15B (rbm15b), mRNA",rbm15b
91,XM_017450762.1,hAT-N108_DR,C,DNA/hAT-Ac,576,2795,2875,81,18.2,4.9,4.9,"XM_017450762.1 PREDICTED: Ictalurus punctatus MON1 homolog A, secretory trafficking associated (mon1a), mRNA",mon1a
92,XM_017450764.1,Zisupton-6_DR,C,DNA/Zisupton,22116,1399,1483,85,14.7,6.2,0,"XM_017450764.1 PREDICTED: Ictalurus punctatus TRAF interacting protein (traip), transcript variant X2, mRNA",traip
93,XM_017450775.1,L2-1_DR,C,LINE/L2,4985,2652,2745,94,14.8,0.5,2,"XM_017450775.1 PREDICTED: Ictalurus punctatus NGFI-A-binding protein 2-like (LOC108255101), transcript variant X1, mRNA",LOC108255101
94,XM_017450775.1,HE1_DR1,+,SINE/tRNA-V-RTE,402,2780,3024,245,19.1,11.2,3.6,"XM_017450775.1 PREDICTED: Ictalurus punctatus NGFI-A-binding protein 2-like (LOC108255101), transcript variant X1, mRNA",LOC108255101
95,XM_017450779.1,Gypsy-31-LTR_DR,+,LTR/Gypsy,954,57,145,89,18.2,1.1,1.1,"XM_017450779.1 PREDICTED: Ictalurus punctatus uncharacterized LOC108255102 (LOC108255102), transcript variant X1, mRNA",LOC108255102
96,XM_017450792.1,DNA8-17_DR,C,DNA/hAT-Tip100,1813,123,212,90,19.8,28.8,4.6,"XM_017450792.1 PREDICTED: Ictalurus punctatus intermediate filament protein ON3-like (LOC108255108), mRNA",LOC108255108
97,XM_017450792.1,HE1_DR1,C,SINE/tRNA-V-RTE,402,1,122,122,23.9,18,0.7,"XM_017450792.1 PREDICTED: Ictalurus punctatus intermediate filament protein ON3-like (LOC108255108), mRNA",LOC108255108
98,XM_017450799.1,EnSpm-9_DR,+,DNA/CMC-EnSpm,8620,56,135,80,21.5,5,1.2,"XM_017450799.1 PREDICTED: Ictalurus punctatus ADP-ribosylation factor-like protein 8B-A (LOC108255114), mRNA",LOC108255114
99,XM_017450806.1,TC1DR3,+,DNA/TcMar-Tc1,1225,510,1034,525,24.6,2.1,3.1,"XM_017450806.1 PREDICTED: Ictalurus punctatus small vasohibin binding protein (svbp), transcript variant X1, mRNA",svbp
100,XM_017450806.1,TC1DR3,C,DNA/TcMar-Tc1,1225,1043,1378,336,27.9,0.3,4,"XM_017450806.1 PREDICTED: Ictalurus punctatus small vasohibin binding protein (svbp), transcript variant X1, mRNA",svbp
101,XM_017450812.1,Gypsy-210_DR-I,+,LTR/Gypsy,4148,3,1405,1403,31.6,4.3,3.7,"XM_017450812.1 PREDICTED: Ictalurus punctatus uncharacterized LOC108255122 (LOC108255122), transcript variant X1, mRNA",LOC108255122
102,XM_017450838.1,Mariner-19_DR,C,DNA/TcMar-Tc1,1227,2091,2325,235,25.2,0.8,8.7,"XM_017450838.1 PREDICTED: Ictalurus punctatus heterogeneous nuclear ribonucleoprotein A1-like (LOC108255131), transcript variant X2, mRNA",LOC108255131
103,XM_017450850.1,HE1_DR1,+,SINE/tRNA-V-RTE,402,6218,6356,139,22.6,12.9,1.3,"XM_017450850.1 PREDICTED: Ictalurus punctatus serine-rich adhesin for platelets-like (LOC108255138), transcript variant X1, mRNA",LOC108255138
104,XM_017450850.1,hAT-N48C_DR,+,DNA/hAT-Ac,2299,1,166,166,20.7,0,9.9,"XM_017450850.1 PREDICTED: Ictalurus punctatus serine-rich adhesin for platelets-like (LOC108255138), transcript variant X1, mRNA",LOC108255138
105,XM_017450854.1,HE1_DR1,C,SINE/tRNA-V-RTE,402,927,1087,161,24.7,3.7,7,"XM_017450854.1 PREDICTED: Ictalurus punctatus endothelin-3-like (LOC108255139), transcript variant X1, mRNA",LOC108255139
106,XM_017450857.1,hAT-N48C_DR,C,DNA/hAT-Ac,2299,42,140,99,22.9,2,7.5,"XM_017450857.1 PREDICTED: Ictalurus punctatus basic helix-loop-helix family member e40 (bhlhe40), mRNA",bhlhe40
107,XM_017450898.1,EnSpm-N40_DR,+,DNA/CMC-EnSpm,5394,2035,2264,230,30.9,4.3,1.7,"XM_017450898.1 PREDICTED: Ictalurus punctatus RAB43, member RAS oncogene family (rab43), transcript variant X1, mRNA",rab43
108,XM_017450898.1,hATN4B_DR,+,DNA/hAT-Charlie,198,2056,2242,187,22.7,4.3,1,"XM_017450898.1 PREDICTED: Ictalurus punctatus RAB43, member RAS oncogene family (rab43), transcript variant X1, mRNA",rab43
109,XM_017450901.1,ENSPM-6_DR,C,DNA/CMC-EnSpm,32616,3177,3300,124,20.3,0.8,8.7,"XM_017450901.1 PREDICTED: Ictalurus punctatus DnaJ heat shock protein family (Hsp40) member C14 (dnajc14), transcript variant X1, mRNA","c""Hsp40"", ""dnajc14"""
110,XM_017450904.1,CryptonV-2_DR,C,DNA/Crypton-V,21811,181,264,84,19.9,3.6,10.1,"XM_017450904.1 PREDICTED: Ictalurus punctatus zinc finger MYND-type containing 8 (zmynd8), transcript variant X2, mRNA",zmynd8
111,XM_017450919.1,hAT-N198_DR,C,DNA/hAT-Charlie,1399,3326,3413,88,18.2,0,0,"XM_017450919.1 PREDICTED: Ictalurus punctatus bromodomain and PHD finger-containing protein 3-like (LOC108255168), transcript variant X6, mRNA",LOC108255168
112,XM_017450920.1,IS3EU-3_DR,C,DNA/IS3EU,9686,1942,2176,235,26.9,5.1,0.4,"XM_017450920.1 PREDICTED: Ictalurus punctatus YOD1 deubiquitinase (yod1), mRNA",yod1
113,XM_017450967.1,hAT-N90_DR,+,DNA/hAT-Charlie,1823,2550,2861,312,26.9,6.9,7.4,"XM_017450967.1 PREDICTED: Ictalurus punctatus feline leukemia virus subgroup C receptor-related protein 2-like (LOC108255188), transcript variant X4, mRNA",LOC108255188
114,XM_017450996.1,L2-13_DRe,+,LINE/L2,1874,1751,2110,360,33.1,3.5,2.7,"XM_017450996.1 PREDICTED: Ictalurus punctatus trace amine-associated receptor 13c-like (LOC108255219), mRNA",LOC108255219
115,XM_017450996.1,EXPANDER1_DR,C,LINE/RTE-BovB,3365,2142,2279,138,27.9,2.9,1.4,"XM_017450996.1 PREDICTED: Ictalurus punctatus trace amine-associated receptor 13c-like (LOC108255219), mRNA",LOC108255219
116,XM_017451044.1,Mariner-N37_DR,+,DNA/TcMar-Tc1,661,2864,3024,161,22.8,11.2,4.7,"XM_017451044.1 PREDICTED: Ictalurus punctatus adenosine receptor A1-like (LOC108255230), mRNA",LOC108255230
117,XM_017451048.1,DNA8-10_DR,C,DNA/hAT-Ac,4018,2565,2664,100,20.9,0,4.2,"XM_017451048.1 PREDICTED: Ictalurus punctatus endo-beta-N-acetylglucosaminidase (engase), transcript variant X1, mRNA",engase
118,XM_017451066.1,SINE2-4_DR,+,SINE/tRNA-V-RTE,371,1456,1741,286,25.4,8.4,7.6,"XM_017451066.1 PREDICTED: Ictalurus punctatus protein SSUH2 homolog (LOC108255245), mRNA",LOC108255245
