"","qry_id","repeat_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","V1","locus"
"19","NM_001004847.1","Kolobok-N3_XT","+","DNA/Kolobok-T2",432,1072,1201,130,16.3,13.8,5.7,">NM_001004847.1 Xenopus tropicalis Rho GDP dissociation inhibitor (GDI) alpha (arhgdia), mRNA","c""GDI"", ""arhgdia"""
"20","NM_001004847.1","Harbinger-N5_XT","C","DNA/PIF-Harbinger",340,2127,2414,288,21.9,18.1,0,">NM_001004847.1 Xenopus tropicalis Rho GDP dissociation inhibitor (GDI) alpha (arhgdia), mRNA","c""GDI"", ""arhgdia"""
"21","NM_001004848.1","hAT-N12_XT","+","DNA/hAT-Tip100",156,1042,1137,96,6.2,11.5,0,">NM_001004848.1 Xenopus tropicalis IMP3, U3 small nucleolar ribonucleoprotein (imp3), mRNA","imp3"
"22","NM_001004857.1","Harbinger-N11_XT","C","DNA/PIF-Harbinger",199,644,824,181,6.6,0,0,">NM_001004857.1 Xenopus tropicalis nudix hydrolase 1 (nudt1), mRNA","nudt1"
"23","NM_001004870.1","DNA1A_XT","+","DNA",175,2916,3086,171,19.4,1.8,0.6,">NM_001004870.1 Xenopus tropicalis nedd4 binding protein 1 (n4bp1), mRNA","n4bp1"
"24","NM_001004873.1","Harbinger-N13_XT","C","DNA/PIF-Harbinger",321,1341,1435,95,23.2,7.4,0,">NM_001004873.1 Xenopus tropicalis anaphase promoting complex subunit 16 (anapc16), mRNA","anapc16"
"25","NM_001004873.1","Harbinger-N10_XT","+","DNA/PIF-Harbinger",220,1042,1225,184,13.9,6,2.1,">NM_001004873.1 Xenopus tropicalis anaphase promoting complex subunit 16 (anapc16), mRNA","anapc16"
"26","NM_001004883.1","hAT-N12_XT","+","DNA/hAT-Tip100",156,3180,3320,141,7.8,0,0,">NM_001004883.1 Xenopus tropicalis acidic residue methyltransferase 1 (armt1), mRNA","armt1"
"27","NM_001004886.1","Kolobok-N10_XT","C","DNA/Kolobok-T2",417,1966,2363,398,17.4,11.1,6,">NM_001004886.1 Xenopus tropicalis C1GALT1 specific chaperone 1 (c1galt1c1), mRNA","c1galt1c1"
"28","NM_001004890.1","Kolobok-N1_XT","+","DNA/Kolobok-T2",582,1789,1902,114,10.5,21.9,0,">NM_001004890.1 Xenopus tropicalis RNA binding motif protein 34 (rbm34), mRNA","rbm34"
"29","NM_001004890.1","Harbinger-N3_XT","C","DNA/PIF-Harbinger",372,1922,2228,307,13.4,9.8,0.6,">NM_001004890.1 Xenopus tropicalis RNA binding motif protein 34 (rbm34), mRNA","rbm34"
"30","NM_001004906.1","DNA1_Xt","+","DNA",166,1024,1166,143,21.8,12.6,0.6,">NM_001004906.1 Xenopus tropicalis PDZ domain containing 11 (pdzd11), mRNA","pdzd11"
"31","NM_001004911.1","DNA10_XT","+","DNA",533,1309,1636,328,23.45,8.3,3,">NM_001004911.1 Xenopus tropicalis chromosome 19 open reading frame 12 (c19orf12), mRNA","c19orf12"
"32","NM_001004913.2","DNA2_Xt","C","DNA/PIF-Harbinger",487,767,1193,427,8.7,14.1,0.2,">NM_001004913.2 Xenopus tropicalis chromosome 15 open reading frame 40 (c15orf40), mRNA","c15orf40"
"33","NM_001004916.1","Tc1-14_Xt","C","DNA/TcMar-Tc1",1612,2248,2756,509,5.9,35.3,0.2,">NM_001004916.1 Xenopus tropicalis kelch like family member 7 (klhl7), mRNA","klhl7"
"34","NM_001004930.1","Kolobok-N8_XT","+","DNA/Kolobok-T2",426,1823,1906,84,8.3,0,0,">NM_001004930.1 Xenopus tropicalis MPV17 mitochondrial membrane protein-like 2 (mpv17l2), mRNA","mpv17l2"
"35","NM_001004933.1","Kolobok-N5_XT","C","DNA/Kolobok-T2",509,1082,1188,107,12.3,0,0.9,">NM_001004933.1 Xenopus tropicalis acireductone dioxygenase 1 (adi1), mRNA","adi1"
"36","NM_001004944.1","SINE2-1_XT","+","SINE/tRNA-V-Core-L2",336,5359,5577,219,15,0.45,0,">NM_001004944.1 Xenopus tropicalis peptidase domain containing associated with muscle regeneration 1 (pamr1), mRNA","pamr1"
"37","NM_001004953.1","XR-a_Xt","+","DNA/Kolobok-T2",610,911,1128,218,23.7,11.5,1.2,">NM_001004953.1 Xenopus tropicalis SBDS ribosome assembly guanine nucleotide exchange factor (sbds), mRNA","sbds"
"38","NM_001004963.1","Tc1-14_Xt","C","DNA/TcMar-Tc1",1612,1234,1377,144,6.3,1.4,0.7,">NM_001004963.1 Xenopus tropicalis short chain dehydrogenase/reductase family 16C member 5 (sdr16c5), mRNA","sdr16c5"
"39","NM_001004966.1","Tc1-5_Xt","+","DNA/TcMar-Tc1",1594,309,469,161,1.9,0,0,">NM_001004966.1 Xenopus tropicalis actin binding transcription modulator (abitram), mRNA","abitram"
"40","NM_001004970.1","Chap3_Xt","C","DNA/hAT-Charlie",186,4005,4102,98,22.7,6.1,1,">NM_001004970.1 Xenopus tropicalis WASH complex subunit 5 (washc5), mRNA","washc5"
"41","NM_001004972.2","T2_3_Xt","C","DNA/Kolobok-T2",597,2032,2541,510,7.7,0.4,1,">NM_001004972.2 Xenopus tropicalis methionine sulfoxide reductase B1 (msrb1), mRNA","msrb1"
"42","NM_001004972.2","XBR_Xt","+","DNA/Kolobok-T2",469,781,1189,409,12,7.3,0.2,">NM_001004972.2 Xenopus tropicalis methionine sulfoxide reductase B1 (msrb1), mRNA","msrb1"
"43","NM_001004973.1","CR1_1a_Xt","C","LINE/CR1",4756,2990,3212,223,0.9,0.9,2.3,">NM_001004973.1 Xenopus tropicalis sosondowah ankyrin repeat domain family member B (sowahb), mRNA","sowahb"
"44","NM_001004973.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,2651,2814,164,19.1,0.6,1.2,">NM_001004973.1 Xenopus tropicalis sosondowah ankyrin repeat domain family member B (sowahb), mRNA","sowahb"
"45","NM_001004976.1","POR","C","DNA/hAT-Charlie",308,2874,3149,276,15.6,11.6,0.3,">NM_001004976.1 Xenopus tropicalis VPS16, CORVET/HOPS core subunit (vps16), mRNA","vps16"
"46","NM_001004978.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,2763,2910,148,8.8,11.5,0,">NM_001004978.1 Xenopus tropicalis family with sequence similarity 124 member A (fam124a), mRNA","fam124a"
"47","NM_001004979.1","Harbinger-N13_XT","C","DNA/PIF-Harbinger",321,1493,1698,206,16,13.6,0,">NM_001004979.1 Xenopus tropicalis peptide deformylase, mitochondrial (pdf), mRNA","pdf"
"48","NM_001004991.1","Harbinger-N11_XT","+","DNA/PIF-Harbinger",199,1405,1569,165,5.6,23,2.5,">NM_001004991.1 Xenopus tropicalis ankyrin repeat domain 40 (ankrd40), mRNA","ankrd40"
"49","NM_001004991.1","Harbinger-N13_XT","+","DNA/PIF-Harbinger",321,1670,1825,156,15.4,19.2,0,">NM_001004991.1 Xenopus tropicalis ankyrin repeat domain 40 (ankrd40), mRNA","ankrd40"
"50","NM_001005002.1","Harbinger-N2_XT","C","DNA/PIF-Harbinger",1108,1571,2160,590,21.1,15.7,2.3,">NM_001005002.1 Xenopus tropicalis indoleamine 2,3-dioxygenase 1 (ido1), mRNA","ido1"
"51","NM_001005002.1","hAT-12N1_XT","C","DNA/hAT-Ac",281,1315,1425,111,23.9,0.9,5.7,">NM_001005002.1 Xenopus tropicalis indoleamine 2,3-dioxygenase 1 (ido1), mRNA","ido1"
"52","NM_001005002.1","hAT-10_XT","C","DNA/hAT-Ac",11144,1675,2091,417,12.8,0.5,4.2,">NM_001005002.1 Xenopus tropicalis indoleamine 2,3-dioxygenase 1 (ido1), mRNA","ido1"
"53","NM_001005008.1","XR-c_Xt","C","DNA/Kolobok-T2",600,1115,1421,307,10.2,13.7,0.9,">NM_001005008.1 Xenopus tropicalis charged multivesicular body protein 2A (chmp2a), mRNA","chmp2a"
"54","NM_001005014.2","Harbinger-N11_XT","+","DNA/PIF-Harbinger",199,1635,1833,199,12.6,0,0,">NM_001005014.2 Xenopus tropicalis transmembrane protein 97 (tmem97), mRNA","tmem97"
"55","NM_001005014.2","DNA4_Xt","+","DNA/TcMar-Tigger",658,883,1196,314,14.7,5.4,0.3,">NM_001005014.2 Xenopus tropicalis transmembrane protein 97 (tmem97), mRNA","tmem97"
"56","NM_001005031.1","DNA1_Xt","+","DNA",166,2030,2190,161,9.3,3.1,0,">NM_001005031.1 Xenopus tropicalis ER degradation enhancer, mannosidase alpha-like 2 (edem2), mRNA","edem2"
"57","NM_001005035.1","XBR_Xt","+","DNA/Kolobok-T2",469,1257,1705,449,17.6,5.8,1.3,">NM_001005035.1 Xenopus tropicalis G-patch domain containing 11 (gpatch11), mRNA","gpatch11"
"58","NM_001005040.1","hAT-N12_XT","C","DNA/hAT-Tip100",156,938,1087,150,8.7,0.7,0.7,">NM_001005040.1 Xenopus tropicalis late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 (lamtor2), mRNA","lamtor2"
"59","NM_001005043.1","L2-6_XT","+","LINE/L2",2089,836,955,120,23.6,1.7,11.9,">NM_001005043.1 Xenopus tropicalis matrix metallopeptidase 7 (mmp7), mRNA","mmp7"
"60","NM_001005049.1","hAT-N12_XT","C","DNA/hAT-Tip100",156,2710,2799,90,5.6,8.9,0,">NM_001005049.1 Xenopus tropicalis caveolae associated protein 1 (cavin1), mRNA","cavin1"
"61","NM_001005049.1","POR","C","DNA/hAT-Charlie",308,2557,2709,153,11.4,1.3,2.6,">NM_001005049.1 Xenopus tropicalis caveolae associated protein 1 (cavin1), mRNA","cavin1"
"62","NM_001005055.2","hAT-N15_XT","+","DNA/hAT-Ac",205,1576,1706,131,17.2,7.6,2.2,">NM_001005055.2 Xenopus tropicalis ankyrin repeat and SOCS box containing 9 (asb9), mRNA","asb9"
"63","NM_001005062.1","Kolobok-N4_XT","+","DNA/Kolobok-T2",516,2505,2596,92,19.6,0,0,">NM_001005062.1 Xenopus tropicalis poly(A) binding protein, cytoplasmic 1-like (pabpc1l), mRNA","c""A"", ""pabpc1l"""
"64","NM_001005076.1","XBR_Xt","C","DNA/Kolobok-T2",469,3959,4290,332,15.8,3,1.2,">NM_001005076.1 Xenopus tropicalis CTR9 homolog, Paf1/RNA polymerase II complex component (ctr9), mRNA","ctr9"
"65","NM_001005437.1","Harbinger-N16_XT","+","DNA/PIF-Harbinger",247,1242,1327,86,8.2,2.3,1.1,">NM_001005437.1 Xenopus tropicalis enoyl-CoA hydratase, short chain, 1, mitochondrial (echs1), mRNA","echs1"
"66","NM_001005454.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,1481,1560,80,10,0,0,">NM_001005454.1 Xenopus tropicalis fragile X mental retardation 1 (fmr1), mRNA","fmr1"
"67","NM_001005456.1","DNA1_Xt","C","DNA",166,1285,1427,143,23,12.6,2.5,">NM_001005456.1 Xenopus tropicalis ELOVL fatty acid elongase 7 (elovl7), mRNA","elovl7"
"68","NM_001005668.1","Kolobok-N1_XT","C","DNA/Kolobok-T2",582,3142,3450,309,11.85,2.85,0,">NM_001005668.1 Xenopus tropicalis calnexin (canx), mRNA","canx"
"69","NM_001005673.2","POR-1_Xt","C","DNA/hAT-Charlie",308,1556,1862,307,2,0.7,0.3,">NM_001005673.2 Xenopus tropicalis 5',3'-nucleotidase, mitochondrial (nt5m), mRNA","nt5m"
"70","NM_001005673.2","SINE2-1_XT","C","SINE/tRNA-V-Core-L2",336,1228,1471,244,12.4,4.9,0.8,">NM_001005673.2 Xenopus tropicalis 5',3'-nucleotidase, mitochondrial (nt5m), mRNA","nt5m"
"71","NM_001005676.1","Kolobok-N1_XT","+","DNA/Kolobok-T2",582,2501,2622,122,12.3,32,0,">NM_001005676.1 Xenopus tropicalis GDP dissociation inhibitor 2 (gdi2), mRNA","gdi2"
"72","NM_001005688.1","POR-1_Xt","C","DNA/hAT-Charlie",308,1946,2224,279,5.4,10.4,0,">NM_001005688.1 Xenopus tropicalis solute carrier family 18 member A2 (slc18a2), mRNA","slc18a2"
"73","NM_001005695.1","hAT-N15_XT","C","DNA/hAT-Ac",205,1255,1415,161,16.3,17.4,1.1,">NM_001005695.1 Xenopus tropicalis cathepsin S (ctss), mRNA","ctss"
"74","NM_001005702.1","Harbinger-N10_XT","C","DNA/PIF-Harbinger",220,1127,1351,225,23.6,5.3,7.7,">NM_001005702.1 Xenopus tropicalis cathepsin K (pycnodysostosis) (ctsk), mRNA","c""pycnodysostosis"", ""ctsk"""
"75","NM_001005719.1","L1-51_XT","C","LINE/L1",5733,252,345,94,0,0,0,">NM_001005719.1 Xenopus tropicalis syntaxin binding protein 6 (stxbp6), mRNA","stxbp6"
"76","NM_001005723.1","XBR_Xt","C","DNA/Kolobok-T2",469,1736,2176,441,17.4,7.3,0.8,">NM_001005723.1 Xenopus tropicalis RAB5B, member RAS oncogene family (rab5b), mRNA","rab5b"
"77","NM_001005724.1","Harbinger-N3B_XT","+","DNA/PIF-Harbinger",350,1516,1724,209,22.5,0,0,">NM_001005724.1 Xenopus tropicalis acyl-CoA dehydrogenase short/branched chain (acadsb), mRNA","acadsb"
"78","NM_001005809.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,1583,1706,124,4.9,0,0.8,">NM_001005809.1 Xenopus tropicalis transmembrane protein 30C, pseudogene (tmem30cp), mRNA","tmem30cp"
"79","NM_001005817.1","XBR_Xt","+","DNA/Kolobok-T2",469,908,1128,221,10.4,0.9,0,">NM_001005817.1 Xenopus tropicalis HIV-1 Tat interactive protein 2 (htatip2), mRNA","htatip2"
"80","NM_001005817.1","XBR_Xt","C","DNA/Kolobok-T2",469,1612,2030,419,17.1,4.1,2.6,">NM_001005817.1 Xenopus tropicalis HIV-1 Tat interactive protein 2 (htatip2), mRNA","htatip2"
"81","NM_001006697.1","DNA1_Xt","+","DNA",166,1421,1562,142,12.8,17.6,0.6,">NM_001006697.1 Xenopus tropicalis cyclin G1 (ccng1), mRNA","ccng1"
"82","NM_001006701.2","DNA8_XT","+","DNA",380,1306,1465,160,17.6,26.2,0.5,">NM_001006701.2 Xenopus tropicalis annexin A1 gene 2 (anxa1.2), mRNA","anxa1.2"
"83","NM_001006719.1","Harbinger-N3A_XT","+","DNA/PIF-Harbinger",361,1573,1851,279,15.4,8.2,0,">NM_001006719.1 Xenopus tropicalis purine nucleoside phosphorylase (pnp), mRNA","pnp"
"84","NM_001006721.1","XR-c_Xt","C","DNA/Kolobok-T2",600,1590,2158,569,15.5,6.8,1.3,">NM_001006721.1 Xenopus tropicalis apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2 (apobec2), mRNA","apobec2"
"85","NM_001006723.2","POR-1_Xt","+","DNA/hAT-Charlie",308,2447,2754,308,10.1,0.3,0.3,">NM_001006723.2 Xenopus tropicalis gamma-glutamyltransferase 1 (ggt1), mRNA","ggt1"
"86","NM_001006735.1","Harbinger-N3_XT","C","DNA/PIF-Harbinger",372,2291,2399,109,25,14.7,0.8,">NM_001006735.1 Xenopus tropicalis calpain 5 (capn5), mRNA","capn5"
"87","NM_001006743.1","Harbinger-N3B_XT","+","DNA/PIF-Harbinger",350,1627,1769,143,17.8,14.7,1.9,">NM_001006743.1 Xenopus tropicalis ADP ribosylation factor like GTPase 5B (arl5b), mRNA","arl5b"
"88","NM_001006745.1","Kolobok-N2_XT","C","DNA/Kolobok-T2",496,1952,2055,104,8.7,5.8,0,">NM_001006745.1 Xenopus tropicalis WD repeat domain 34 (wdr34), mRNA","wdr34"
"89","NM_001006763.1","Harbinger-2N1A_XT","+","DNA/PIF-Harbinger",402,1578,1667,90,7.8,0,0,">NM_001006763.1 Xenopus tropicalis TATA-box binding protein associated factor 7 (taf7), mRNA","taf7"
"90","NM_001006766.1","Harbinger-N3_XT","+","DNA/PIF-Harbinger",372,2452,2825,374,12.1,0.3,0.8,">NM_001006766.1 Xenopus tropicalis Wnt family member 5B (wnt5b), mRNA","wnt5b"
"91","NM_001006766.1","DNA4_Xt","C","DNA/TcMar-Tigger",658,3135,3244,110,5.9,2.3,0,">NM_001006766.1 Xenopus tropicalis Wnt family member 5B (wnt5b), mRNA","wnt5b"
"92","NM_001006768.1","Harbinger-N11_XT","C","DNA/PIF-Harbinger",199,1334,1532,199,7.1,0.5,0.5,">NM_001006768.1 Xenopus tropicalis RAB34, member RAS oncogene family (rab34), mRNA","rab34"
"93","NM_001006775.2","hAT-N12_XT","+","DNA/hAT-Tip100",156,2619,2763,145,6.9,6.2,0,">NM_001006775.2 Xenopus tropicalis paired box 3 (pax3), mRNA","pax3"
"94","NM_001006776.1","L1-21_XT","+","LINE/L1",5963,3204,3338,135,27.8,0.7,1.5,">NM_001006776.1 Xenopus tropicalis mannosidase, alpha, class 2A, member 2 (man2a2), mRNA","man2a2"
"95","NM_001006776.1","DNA-9-1_XT","+","DNA/hAT-Tip100",1485,3038,3157,120,13.3,11.7,0,">NM_001006776.1 Xenopus tropicalis mannosidase, alpha, class 2A, member 2 (man2a2), mRNA","man2a2"
"96","NM_001006776.1","hAT-12N1_XT","+","DNA/hAT-Ac",281,3355,3507,153,15.7,5.2,12.6,">NM_001006776.1 Xenopus tropicalis mannosidase, alpha, class 2A, member 2 (man2a2), mRNA","man2a2"
"97","NM_001006777.1","XR-a_Xt","C","DNA/Kolobok-T2",610,1049,1623,575,13.6,6.4,0.3,">NM_001006777.1 Xenopus tropicalis translin-associated factor X (tsnax), mRNA","tsnax"
"98","NM_001006784.1","XR-a_Xt","C","DNA/Kolobok-T2",610,1590,1827,238,11.6,6.3,2,">NM_001006784.1 Xenopus tropicalis synaptogyrin 2 (syngr2), mRNA","syngr2"
"99","NM_001006788.1","Harbinger-N13_XT","C","DNA/PIF-Harbinger",321,1695,1811,117,22.2,11.1,0,">NM_001006788.1 Xenopus tropicalis GTP cyclohydrolase 1 (gch1), mRNA","gch1"
"100","NM_001006789.1","ERV1-4-LTR_XT","+","LTR/ERV1",881,1,154,154,7.1,0.7,0,">NM_001006789.1 Xenopus tropicalis tyrosine aminotransferase (tat), mRNA","tat"
"101","NM_001006792.1","Harbinger-N3B_XT","C","DNA/PIF-Harbinger",350,2474,2791,318,28.6,13.8,3.4,">NM_001006792.1 Xenopus tropicalis CTD small phosphatase 2 (ctdsp2), mRNA","ctdsp2"
"102","NM_001006816.2","Chap4b_Xt","C","DNA/hAT-Charlie",1014,1101,1181,81,14.6,21,0,">NM_001006816.2 Xenopus tropicalis adenylate kinase 1 (ak1), mRNA","ak1"
"103","NM_001006827.1","Kolobok-N12_XT","C","DNA/Kolobok-T2",423,1810,2179,370,13.2,10.5,0,">NM_001006827.1 Xenopus tropicalis calcium binding and coiled-coil domain 2 (calcoco2), mRNA","calcoco2"
"104","NM_001006827.1","SINE2-1_XT","+","SINE/tRNA-V-Core-L2",336,2614,2745,132,14.4,1.5,0,">NM_001006827.1 Xenopus tropicalis calcium binding and coiled-coil domain 2 (calcoco2), mRNA","calcoco2"
"105","NM_001006827.1","hAT-N8_XT","C","DNA/hAT-Tip100",265,3006,3230,225,8.6,19.6,1.5,">NM_001006827.1 Xenopus tropicalis calcium binding and coiled-coil domain 2 (calcoco2), mRNA","calcoco2"
"106","NM_001006836.1","CR1-L2-1_XT","C","LINE/L2",4303,3049,3157,109,17.4,16.5,0,">NM_001006836.1 Xenopus tropicalis cyclin-dependent kinase 18 (cdk18), mRNA","cdk18"
"107","NM_001006841.1","DNA2_Xt","C","DNA/PIF-Harbinger",487,1777,2281,505,20,4.8,10,">NM_001006841.1 Xenopus tropicalis progesterone receptor membrane component 1 (pgrmc1), mRNA","pgrmc1"
"108","NM_001006844.1","DNA1A_XT","C","DNA",175,1183,1326,144,16.8,0,0.7,">NM_001006844.1 Xenopus tropicalis phosphatidylethanolamine N-methyltransferase (pemt), mRNA","pemt"
"109","NM_001006844.1","DNA1_Xt","C","DNA",166,1453,1618,166,8.5,0.6,1.2,">NM_001006844.1 Xenopus tropicalis phosphatidylethanolamine N-methyltransferase (pemt), mRNA","pemt"
"110","NM_001006846.1","POR","C","DNA/hAT-Charlie",308,1075,1372,298,16.7,4.4,1.3,">NM_001006846.1 Xenopus tropicalis proteinase 3 (prtn3), mRNA","prtn3"
"111","NM_001006847.2","Kolobok-N8_XT","C","DNA/Kolobok-T2",426,1684,2114,431,23.3,5.6,7.3,">NM_001006847.2 Xenopus tropicalis paraoxonase 2 (pon2), mRNA","pon2"
"112","NM_001006861.1","Harbinger-2N2A_XT","+","DNA/PIF-Harbinger",487,1345,1739,395,15.6,10.9,0.3,">NM_001006861.1 Xenopus tropicalis rhomboid domain containing 2 (rhbdd2), mRNA","rhbdd2"
"113","NM_001006861.1","Tc1-7_Xt","+","DNA/TcMar-Tc1",1600,3662,3783,122,14.1,13.1,1.5,">NM_001006861.1 Xenopus tropicalis rhomboid domain containing 2 (rhbdd2), mRNA","rhbdd2"
"114","NM_001006861.1","Kolobok-N7_XT","C","DNA/Kolobok-T2",611,2881,3344,464,5.4,20.3,0,">NM_001006861.1 Xenopus tropicalis rhomboid domain containing 2 (rhbdd2), mRNA","rhbdd2"
"115","NM_001006861.1","POR","+","DNA/hAT-Charlie",308,2336,2435,100,15,7,0,">NM_001006861.1 Xenopus tropicalis rhomboid domain containing 2 (rhbdd2), mRNA","rhbdd2"
"116","NM_001006861.1","XR-a_Xt","C","DNA/Kolobok-T2",610,3356,3550,195,15.2,16.6,2.7,">NM_001006861.1 Xenopus tropicalis rhomboid domain containing 2 (rhbdd2), mRNA","rhbdd2"
"117","NM_001006863.1","Harbinger-N3A_XT","+","DNA/PIF-Harbinger",361,2947,3197,251,27.1,0.4,0,">NM_001006863.1 Xenopus tropicalis complement component 6, gene 2 (c6.2), mRNA","c6.2"
"118","NM_001006865.1","XBR_Xt","C","DNA/Kolobok-T2",469,1733,1888,156,14.7,1.9,0,">NM_001006865.1 Xenopus tropicalis plexin A3 (plxna3), mRNA","plxna3"
"119","NM_001006869.1","Harbinger-N5_XT","C","DNA/PIF-Harbinger",340,1140,1386,247,11.7,0,0,">NM_001006869.1 Xenopus tropicalis cytoglobin (cygb), mRNA","cygb"
"120","NM_001006874.1","T2_1_Xt","C","DNA/Kolobok-T2",465,2063,2491,429,6.8,8.6,0.2,">NM_001006874.1 Xenopus tropicalis palmitoyl-protein thioesterase 1 (ppt1), mRNA","ppt1"
"121","NM_001006874.1","SINE2-1_XT","+","SINE/tRNA-V-Core-L2",336,2534,2794,261,23.6,16.9,1,">NM_001006874.1 Xenopus tropicalis palmitoyl-protein thioesterase 1 (ppt1), mRNA","ppt1"
"122","NM_001006874.1","Harbinger-N3_XT","C","DNA/PIF-Harbinger",372,1070,1398,329,9.1,11.8,0.3,">NM_001006874.1 Xenopus tropicalis palmitoyl-protein thioesterase 1 (ppt1), mRNA","ppt1"
"123","NM_001006893.2","Harbinger-N3B_XT","C","DNA/PIF-Harbinger",350,1897,2079,183,27.7,10.9,7.4,">NM_001006893.2 Xenopus tropicalis polymerase (DNA directed), beta (polb), mRNA","c""DNA directed"", ""polb"""
"124","NM_001006899.1","POR","+","DNA/hAT-Charlie",308,2611,2870,260,12.3,21.1,3.3,">NM_001006899.1 Xenopus tropicalis bleomycin hydrolase (blmh), mRNA","blmh"
"125","NM_001006906.1","DNA4_Xt","C","DNA/TcMar-Tigger",658,1835,2146,312,14.7,7.4,0,">NM_001006906.1 Xenopus tropicalis cytochrome P450 family 27 subfamily B member 1 (cyp27b1), mRNA","cyp27b1"
"126","NM_001006923.1","XBR_Xt","C","DNA/Kolobok-T2",469,3013,3395,383,14.9,5.5,1.8,">NM_001006923.1 Xenopus tropicalis semaphorin 3F like (sema3fl), mRNA","sema3fl"
