,qry_id,repeat_id,matching_repeat,matching_class,reference_length,merged_qrystart,merged_qryend,mergedfraglength,perc_div,perc_del,perc_insert,Gene,isoform
21,NM_001200168.1,TE_00001042,+,__ClassII_DNA_TcMar_nMITE,1284,13,103,91,11,6.6,0,"NM_001200168.1 Ictalurus punctatus small inducible cytokine A3 (LOC100304588), mRNA",LOC100304588
22,NM_001200171.1,TE_00000312,C,__ClassI_LTR_ERV,374,1800,1921,122,25.1,15.6,2.2,"NM_001200171.1 Ictalurus punctatus POU class 2 homeobox 2 (pou2f2), mRNA",pou2f2
23,NM_001200181.1,TE_00000832,+,__ClassII_DNA_hAT_nMITE,2337,360,699,340,15.7,18.5,2.3,"NM_001200181.1 Ictalurus punctatus nonspecific cytotoxic cell cationic anti-microbial protein-1 (LOC100304607), mRNA",LOC100304607
24,NM_001200184.1,TE_00000306,+,__ClassII_DNA_CACTA_nMITE,4009,253,2578,2326,22.725,1.775,3.975,"NM_001200184.1 Ictalurus punctatus putative odorant receptor CF64 (LOC100304610), mRNA",LOC100304610
25,NM_001200186.1,TE_00002452,+,__ClassII_DNA_hAT_nMITE,4638,147,376,230,2.2,0,0,"NM_001200186.1 Ictalurus punctatus hemoglobin-beta (LOC100304620), mRNA",LOC100304620
26,NM_001200189.1,TE_00002194,C,__ClassI_LTR_ERV,7726,615,752,138,0.7,0,0,"NM_001200189.1 Ictalurus punctatus transcription factor 12 (tcf12), mRNA",tcf12
27,NM_001200190.1,TE_00002145,+,__ClassII_DNA_hAT_nMITE,2143,2246,2463,218,18.4,14.2,2.8,"NM_001200190.1 Ictalurus punctatus putative membrane progestin receptor beta (LOC100304624), mRNA",LOC100304624
28,NM_001200190.1,TE_00002958_INT,C,__ClassII_DNA_CACTA_nMITE,10389,2452,2818,367,18.2,12.8,1.5,"NM_001200190.1 Ictalurus punctatus putative membrane progestin receptor beta (LOC100304624), mRNA",LOC100304624
29,NM_001200190.1,TE_00001717,C,__ClassII_DNA_TcMar_nMITE,4177,2564,2857,294,16,4.8,2,"NM_001200190.1 Ictalurus punctatus putative membrane progestin receptor beta (LOC100304624), mRNA",LOC100304624
30,NM_001200192.1,TE_00002170_LTR,+,__ClassI_LTR_Copia,398,2722,2814,93,10,0,3.3,"NM_001200192.1 Ictalurus punctatus thyroid stimulating hormone receptor (LOC100304626), mRNA",LOC100304626
31,NM_001200207.1,TE_00000807,+,__ClassI_nLTR_PLE,1631,570,824,255,0.8,0,0,"NM_001200207.1 Ictalurus punctatus leukocyte immune-type receptor 3 (LOC100304647), mRNA",LOC100304647
32,NM_001200207.1,TE_00001419,+,__ClassII_DNA_hAT_nMITE,4103,1761,2185,425,11.8,2.6,0.7,"NM_001200207.1 Ictalurus punctatus leukocyte immune-type receptor 3 (LOC100304647), mRNA",LOC100304647
33,NM_001200207.1,TE_00000946,+,__ClassII_DNA_PiggyBac_nMITE,2093,1084,1361,278,2.2,0,0,"NM_001200207.1 Ictalurus punctatus leukocyte immune-type receptor 3 (LOC100304647), mRNA",LOC100304647
34,NM_001200207.1,TE_00002381,C,__ClassII_DNA_TcMar_nMITE,2224,61,297,237,5.9,0,0,"NM_001200207.1 Ictalurus punctatus leukocyte immune-type receptor 3 (LOC100304647), mRNA",LOC100304647
35,NM_001200209.1,TE_00001533,+,__ClassII_DNA_TcMar_nMITE,4379,120,206,87,23.5,2.3,2.3,"NM_001200209.1 Ictalurus punctatus granzyme-like I (LOC100304650), mRNA",LOC100304650
36,NM_001200210.1,TE_00001533,+,__ClassII_DNA_TcMar_nMITE,4379,388,648,261,1.9,0,0,"NM_001200210.1 Ictalurus punctatus granzyme-like III (LOC100304651), mRNA",LOC100304651
37,NM_001200214.1,TE_00002497,C,__ClassI_LTR_Gypsy,4928,2146,2242,97,12.5,1.5,4.6,"NM_001200214.1 Ictalurus punctatus growth hormone receptor (ghr), mRNA",ghr
38,NM_001200214.1,TE_00001588,C,__ClassII_DNA_CACTA_nMITE,4789,2163,2253,91,11.3,0,13,"NM_001200214.1 Ictalurus punctatus growth hormone receptor (ghr), mRNA",ghr
39,NM_001200225.1,TE_00002465,+,__ClassII_DNA_TcMar_nMITE,3109,1934,2419,486,30.6,2.7,19.4,"NM_001200225.1 Ictalurus punctatus TIR-containing adaptor molecule (LOC100304977), mRNA",LOC100304977
40,NM_001200225.1,TE_00003923,+,__ClassII_DNA_hAT_nMITE,1346,1967,2255,289,22.9,9.3,10.9,"NM_001200225.1 Ictalurus punctatus TIR-containing adaptor molecule (LOC100304977), mRNA",LOC100304977
41,NM_001200225.1,TE_00002755,+,__ClassII_DNA_hAT_nMITE,2933,2457,2558,102,23.5,0.3,2.5,"NM_001200225.1 Ictalurus punctatus TIR-containing adaptor molecule (LOC100304977), mRNA",LOC100304977
42,NM_001200228.1,TE_00001299,C,__ClassII_DNA_hAT_MITE,95,629,729,101,17.3,1,8.5,"NM_001200228.1 Ictalurus punctatus matrix metalloproteinase 9 (mmp9), mRNA",mmp9
43,NM_001200230.1,TE_00001028,+,__ClassII_DNA_CACTA_MITE,546,1261,1360,100,18.7,6,3.9,"NM_001200230.1 Ictalurus punctatus toll-like receptor 20a (tlr-20a), mRNA",tlr-20a
44,NM_001200230.1,TE_00002153,+,__ClassI_LTR_Copia,3524,1744,1852,109,20.7,7.3,2.6,"NM_001200230.1 Ictalurus punctatus toll-like receptor 20a (tlr-20a), mRNA",tlr-20a
45,NM_001200234.1,TE_00002701,C,__ClassI_LTR_Gypsy,4071,3266,3517,252,23.5,11.9,3.7,"NM_001200234.1 Ictalurus punctatus endothelial PAS domain protein 1 (epas1), mRNA",epas1
46,NM_001200236.1,TE_00002880,C,__ClassII_DNA_TcMar_nMITE,2093,761,848,88,20.4,0,0,"NM_001200236.1 Ictalurus punctatus CD79a molecule (cd79a), mRNA",cd79a
47,NM_001200241.1,TE_00000682,+,__ClassI_nLTR_LINE_RTE,1117,684,830,147,14.9,0,4.3,"NM_001200241.1 Ictalurus punctatus novel immune-type receptor 13 (LOC100305001), mRNA",LOC100305001
48,NM_001200241.1,TE_00002751,C,__ClassII_DNA_hAT_nMITE,2297,89,453,365,23,5.8,0,"NM_001200241.1 Ictalurus punctatus novel immune-type receptor 13 (LOC100305001), mRNA",LOC100305001
49,NM_001200243.1,TE_00002014_LTR,C,__ClassI_LTR_Gypsy,350,402,741,340,4.7,0.3,0,"NM_001200243.1 Ictalurus punctatus novel immune-type receptor 15a (LOC100305003), mRNA",LOC100305003
50,NM_001200243.1,TE_00003432_INT,C,__ClassIII_Helitron,13202,17,1102,1086,23.26666667,0,2.7,"NM_001200243.1 Ictalurus punctatus novel immune-type receptor 15a (LOC100305003), mRNA",LOC100305003
51,NM_001200247.1,TE_00000843_,+,__ClassI_LTR_Gypsy,522,206,294,89,24.7,7.9,4.3,"NM_001200247.1 Ictalurus punctatus intelectin 2 (itln2), mRNA",itln2
52,NM_001200263.1,TE_00001794,C,__ClassII_DNA_TcMar_nMITE,1695,1577,1741,165,22.4,4.2,0,"NM_001200263.1 Ictalurus punctatus vertebrate ancient long opsin (LOC100305024), mRNA",LOC100305024
53,NM_001200267.1,TE_00003110,+,__ClassI_LTR_Copia,14855,1,1035,1035,6.2,0,0.3,"NM_001200267.1 Ictalurus punctatus olfactory receptor 1 (LOC100305028), mRNA",LOC100305028
54,NM_001200269.1,TE_00001701,+,__ClassII_DNA_hAT_nMITE,2661,4,942,939,12.7,0,0,"NM_001200269.1 Ictalurus punctatus olfactory receptor 47 (LOC100305032), mRNA",LOC100305032
55,NM_001200270.1,TE_00002410,+,__ClassI_nLTR_LINE_L1,4698,64,920,857,27.2,1.5,4.2,"NM_001200270.1 Ictalurus punctatus olfactory receptor 8 (LOC100305033), mRNA",LOC100305033
56,NM_001200275.1,TE_00002079,C,__ClassII_DNA_hAT_nMITE,2454,1854,1966,113,12.4,5.7,0.8,"NM_001200275.1 Ictalurus punctatus cerebellar degeneration related protein 2 (cdr2), mRNA",cdr2
57,NM_001200275.1,TE_00003139,C,__ClassII_DNA_hAT_nMITE,2119,1628,1879,252,19.5,6,2.3,"NM_001200275.1 Ictalurus punctatus cerebellar degeneration related protein 2 (cdr2), mRNA",cdr2
58,NM_001200275.1,TE_00002799,+,__ClassI_LTR_Gypsy,4431,2005,2114,110,5.5,0,0.9,"NM_001200275.1 Ictalurus punctatus cerebellar degeneration related protein 2 (cdr2), mRNA",cdr2
59,NM_001200277.1,TE_00001063,C,__ClassI_LTR_Copia,1352,1,395,395,4.8,25.3,0.5,"NM_001200277.1 Ictalurus punctatus novel immune-type receptor 6 (nitr6), mRNA",nitr6
60,NM_001200281.1,TE_00001420,C,__ClassII_DNA_TcMar_nMITE,4027,770,856,87,16.1,0,0,"NM_001200281.1 Ictalurus punctatus ribosomal protein L5b (rpl5-a), mRNA",rpl5-a
61,NM_001200300.1,TE_00002381,C,__ClassII_DNA_TcMar_nMITE,2224,70,476,407,8,0,0.3,"NM_001200300.1 Ictalurus punctatus leukocyte immune-type receptor 2 (LOC100305067), mRNA",LOC100305067
62,NM_001200300.1,TE_00001419,+,__ClassII_DNA_hAT_nMITE,4103,1177,1310,134,11.4,0.8,1.5,"NM_001200300.1 Ictalurus punctatus leukocyte immune-type receptor 2 (LOC100305067), mRNA",LOC100305067
63,NM_001200300.1,TE_00002153,C,__ClassI_LTR_Copia,3524,582,878,297,6.7,0.7,4.2,"NM_001200300.1 Ictalurus punctatus leukocyte immune-type receptor 2 (LOC100305067), mRNA",LOC100305067
64,NM_001200306.1,TE_00002014_LTR,C,__ClassI_LTR_Gypsy,350,399,734,336,1.2,0,0,"NM_001200306.1 Ictalurus punctatus novel immune-type receptor 16 (LOC100305119), mRNA",LOC100305119
65,NM_001200313.1,TE_00000205,C,__ClassI_LTR_Gypsy,349,1671,1991,321,12.7,12.5,14.2,"NM_001200313.1 Ictalurus punctatus steroidogenic cytochrome P450 17-hydroxylase/lyase (cyp17), mRNA",cyp17
66,NM_001200320.1,TE_00001766,C,__ClassI_nLTR_LINE_RTE,2889,1644,2083,440,18.03333333,1.466666667,0.466666667,"NM_001200320.1 Ictalurus punctatus transferrin (LOC100335020), mRNA",LOC100335020
67,NM_001200321.1,TE_00003029,+,__ClassII_DNA_hAT_nMITE,4202,1445,1725,281,23.3,17.1,6.8,"NM_001200321.1 Ictalurus punctatus growth hormone secretagog receptor 1a (LOC100335022), mRNA",LOC100335022
68,NM_001200329.1,TE_00001082,C,__ClassII_DNA_TcMar_nMITE,1001,1,162,162,1.2,0,0,"NM_001200329.1 Ictalurus punctatus cytochrome P450 (LOC100335049), mRNA",LOC100335049
69,NM_001200333.1,TE_00001063,C,__ClassI_LTR_Copia,1352,1,558,558,1.25,12.3,0.4,"NM_001200333.1 Ictalurus punctatus novel immune-type receptor 11 (nitr11), mRNA",nitr11
70,NM_001200335.1,TE_00001299,C,__ClassII_DNA_hAT_MITE,95,536,633,98,17.7,0,7.7,"NM_001200335.1 Ictalurus punctatus matrix metalloproteinase 13 (mmp13), mRNA",mmp13
71,NM_001200358.1,TE_00002592,+,__ClassII_DNA_hAT_nMITE,4162,1078,1250,173,0,0,0,"NM_001200358.1 Ictalurus punctatus NME/NM23 family member 7 (nme7), mRNA",nme7
72,NM_001200416.1,TE_00003493,+,__ClassI_nLTR_LINE_RTE,1468,854,1107,254,0,0,0,"NM_001200416.1 Ictalurus punctatus PDZ binding kinase (pbk), mRNA",pbk
73,NM_001200436.1,TE_00003037,+,__ClassII_DNA_hAT_nMITE,3616,1113,1252,140,24.1,5.7,2.1,"NM_001200436.1 Ictalurus punctatus SPC24 component of NDC80 kinetochore complex (spc24), mRNA",spc24
74,NM_001200436.1,TE_00002532,C,__ClassII_DNA_hAT_nMITE,3588,1095,1181,87,15.3,0,17.6,"NM_001200436.1 Ictalurus punctatus SPC24 component of NDC80 kinetochore complex (spc24), mRNA",spc24
75,NM_001200465.1,TE_00001533,C,__ClassII_DNA_TcMar_nMITE,4379,803,1249,447,25.75,4.2,8.25,"NM_001200465.1 Ictalurus punctatus RAB, member of RAS oncogene family like 3 (rabl3), mRNA",rabl3
76,NM_001200475.1,TE_00002027,C,__ClassII_DNA_hAT_nMITE,1505,1230,1375,146,0.7,0,0,"NM_001200475.1 Ictalurus punctatus leucine carboxyl methyltransferase 1 (lcmt1), mRNA",lcmt1
77,NM_001200476.1,TE_00002866,C,__ClassII_DNA_TcMar_nMITE,3692,258,687,430,16.4,6.7,1.2,"NM_001200476.1 Ictalurus punctatus C-X9-C motif containing 4 (cmc4), mRNA",cmc4
78,NM_001200478.1,TE_00002952_INT,C,__ClassII_DNA_CACTA_nMITE,9359,241,1187,947,24.95,0,0,"NM_001200478.1 Ictalurus punctatus cathepsin D (catd), mRNA",catd
79,NM_001200542.1,TE_00002766,+,__ClassII_DNA_TcMar_nMITE,1468,456,535,80,16.6,10,2.3,"NM_001200542.1 Ictalurus punctatus ring-box 1 (rbx1), mRNA",rbx1
80,NM_001200544.1,TE_00002615,C,__ClassII_DNA_hAT_nMITE,1665,924,1086,163,21.8,3.1,9.8,"NM_001200544.1 Ictalurus punctatus calcyphosin-like protein (capsl), mRNA",capsl
81,NM_001200564.1,TE_00001287,+,__ClassI_LTR_Gypsy,396,326,504,179,8.1,1.1,3.4,"NM_001200564.1 Ictalurus punctatus troponin I fast skeletal muscle (tnni2), mRNA",tnni2
82,NM_001200565.1,TE_00002305,C,__ClassII_DNA_TcMar_nMITE,4191,1233,1353,121,15.7,0,0,"NM_001200565.1 Ictalurus punctatus transmembrane protein 177 (tmem177), mRNA",tmem177
83,NM_001200565.1,TE_00001632,C,__ClassII_DNA_TcMar_nMITE,4760,1342,1499,158,13.4,11.4,0.6,"NM_001200565.1 Ictalurus punctatus transmembrane protein 177 (tmem177), mRNA",tmem177
84,NM_001200576.1,TE_00003362,+,__ClassII_DNA_TcMar_nMITE,4203,109,1124,1016,0.933333333,0,0.166666667,"NM_001200576.1 Ictalurus punctatus hepatocyte nuclear factor 4 alpha (hnf4a), mRNA",hnf4a
85,NM_001200620.1,TE_00003129,+,__ClassII_DNA_hAT_nMITE,3389,388,627,240,24.7,2.9,0.4,"NM_001200620.1 Ictalurus punctatus B-cell translocation gene 1 (btg1), mRNA",btg1
86,NM_001200624.1,TE_00003183,C,__ClassII_DNA_hAT_nMITE,2313,13,165,153,0,0,0,"NM_001200624.1 Ictalurus punctatus Nedd4 family interacting protein 1 (ndfip1), mRNA",ndfip1
87,NM_001200654.1,TE_00003301,+,__ClassII_DNA_CACTA_nMITE,1901,170,338,169,1.2,0,0,"NM_001200654.1 Ictalurus punctatus fructose-16-bisphosphatase 1 (f16p1), mRNA",f16p1
88,NM_001200663.1,TE_00002491,+,__ClassII_DNA_CACTA_nMITE,4986,1439,1535,97,9.4,0,1,"NM_001200663.1 Ictalurus punctatus ADP-ribosylarginine hydrolase (adprh), mRNA",adprh
89,NM_001200663.1,TE_00003624,+,__ClassIII_Helitron,6987,1341,1428,88,23.9,2.3,0,"NM_001200663.1 Ictalurus punctatus ADP-ribosylarginine hydrolase (adprh), mRNA",adprh
90,NM_001200665.1,TE_00000982,+,__ClassII_DNA_TcMar_MITE,262,180,290,111,18.7,7.2,13.3,"NM_001200665.1 Ictalurus punctatus c-type natriuretic peptide 1 (anfc1), mRNA",anfc1
91,NM_001200666.1,TE_00001897,C,__ClassI_nLTR_LINE_RTE,2799,520,731,212,22.3,0.9,19.6,"NM_001200666.1 Ictalurus punctatus placenta-specific gene 8 protein (plac8), mRNA",plac8
92,NM_001200691.1,TE_00001830,C,__ClassII_DNA_Harbinger_nMITE,3917,659,975,317,19.8,8.2,4.6,"NM_001200691.1 Ictalurus punctatus methenyltetrahydrofolate synthetase (mthfs), mRNA",mthfs
93,NM_001200691.1,TE_00001496,C,__ClassII_DNA_CACTA_nMITE,3937,634,744,111,19,0,14.4,"NM_001200691.1 Ictalurus punctatus methenyltetrahydrofolate synthetase (mthfs), mRNA",mthfs
94,NM_001200694.1,TE_00001039,C,__ClassI_LTR_Gypsy,280,55,312,258,16.2,0,8.9,"NM_001200694.1 Ictalurus punctatus rho-related gtp-binding protein rhoc (rhoc), mRNA",rhoc
95,NM_001200720.1,TE_00002156,C,__ClassII_DNA_TcMar_nMITE,830,693,779,87,5.8,0,0,"NM_001200720.1 Ictalurus punctatus trafficking protein particle complex 3 (trappc3), mRNA",trappc3
96,NM_001200740.1,TE_00002559,C,__ClassII_DNA_TcMar_nMITE,2881,831,1044,214,27.7,16.4,3.8,"NM_001200740.1 Ictalurus punctatus lysosomal protein transmembrane 4 alpha (laptm4a), mRNA",laptm4a
97,NM_001200740.1,TE_00002459,+,__ClassII_DNA_hAT_nMITE,2675,886,1024,139,27.6,0,6.1,"NM_001200740.1 Ictalurus punctatus lysosomal protein transmembrane 4 alpha (laptm4a), mRNA",laptm4a
98,NM_001200767.1,TE_00002374,+,__ClassII_DNA_hAT_nMITE,4437,2,95,94,27.7,2.1,0,"NM_001200767.1 Ictalurus punctatus transmembrane protein 14c (tm14c), mRNA",tm14c
99,NM_001200774.1,TE_00003833,+,__ClassII_DNA_hAT_nMITE,3423,462,877,416,26.63333333,0.833333333,0.833333333,"NM_001200774.1 Ictalurus punctatus integral membrane protein 2b (itm2b), mRNA",itm2b
100,NM_001200792.1,TE_00003161,C,__ClassII_DNA_hAT_nMITE,4397,889,1176,288,17.4,2.4,0,"NM_001200792.1 Ictalurus punctatus regulator of G-protein signaling 20 (rgs20), mRNA",rgs20
101,NM_001200805.1,TE_00001039,C,__ClassI_LTR_Gypsy,280,200,415,216,28.8,2.8,9.9,"NM_001200805.1 Ictalurus punctatus ras homolog family member F, filopodia associated (rhof), mRNA",rhof
102,NM_001200828.1,TE_00001909_INT,+,__ClassII_DNA_hAT_nMITE,8052,734,834,101,28,0,1,"NM_001200828.1 Ictalurus punctatus pituitary tumor-transforming gene 1 protein-interacting protein (pttg), mRNA",pttg
103,NM_001200851.1,TE_00001024,+,__ClassI_nLTR_LINE_L1,805,24,684,661,23.2,1.15,8.9,"NM_001200851.1 Ictalurus punctatus gap junction cx32.2 protein (cx32), mRNA",cx32
104,NM_001200859.1,TE_00001287,+,__ClassI_LTR_Gypsy,396,389,651,263,19.05,0,2.8,"NM_001200859.1 Ictalurus punctatus troponin I slow skeletal muscle (tnni1), mRNA",tnni1
105,NM_001200872.1,TE_00003701,+,__ClassII_DNA_TcMar_nMITE,1947,9,163,155,1.3,0,0,"NM_001200872.1 Ictalurus punctatus SPT4 homolog, DSIF elongation factor subunit (supt4h1), mRNA",supt4h1
106,NM_001200877.1,TE_00003208,+,__ClassII_DNA_TcMar_nMITE,1472,378,462,85,21.4,2.4,1.2,"NM_001200877.1 Ictalurus punctatus phosphomannomutase 2 (pmm2), mRNA",pmm2
107,NM_001200882.1,TE_00003977,+,__ClassII_DNA_TcMar_nMITE,1764,884,1402,519,1.1,0.35,0.2,"NM_001200882.1 Ictalurus punctatus flap endonuclease 1-b (fen1b), mRNA",fen1b
108,NM_001200894.1,TE_00003393,C,__ClassII_DNA_TcMar_MITE,431,1163,1244,82,15.8,1.2,0,"NM_001200894.1 Ictalurus punctatus chromosome 11 open reading frame, human C1orf74 (c11h1orf74), mRNA",c11h1orf74
109,NM_001200897.1,TE_00003027,+,__ClassII_DNA_hAT_nMITE,3088,419,529,111,20.7,0.4,0,"NM_001200897.1 Ictalurus punctatus transmembrane protein 141 (tmem141), mRNA",tmem141
110,NM_001200898.1,TE_00003719,+,__ClassI_LTR_Copia,954,1106,1189,84,20.2,2.4,0,"NM_001200898.1 Ictalurus punctatus arylamine n-acetyltransferase pineal gland isozyme nat-10 (ary1), mRNA",ary1
111,NM_001200898.1,TE_00002070,+,__ClassII_DNA_TcMar_nMITE,3245,1235,1321,87,22.3,11.5,2.1,"NM_001200898.1 Ictalurus punctatus arylamine n-acetyltransferase pineal gland isozyme nat-10 (ary1), mRNA",ary1
112,NM_001200898.1,TE_00002743,+,__ClassII_DNA_CACTA_nMITE,3858,1202,1335,134,30.2,4.5,3.7,"NM_001200898.1 Ictalurus punctatus arylamine n-acetyltransferase pineal gland isozyme nat-10 (ary1), mRNA",ary1
113,NM_001200950.1,TE_00003842,C,__ClassI_LTR_Gypsy,4066,1004,1167,164,18.9,1.8,12.8,"NM_001200950.1 Ictalurus punctatus C-type lectin domain family 3 member B (clec3b), mRNA",clec3b
114,NM_001200950.1,TE_00002782,C,__ClassI_LTR_Copia,2735,846,980,135,25.4,0,9.8,"NM_001200950.1 Ictalurus punctatus C-type lectin domain family 3 member B (clec3b), mRNA",clec3b
115,NM_001200963.1,TE_00000161,+,__ClassII_DNA_hAT_MITE,483,1,101,101,22.4,2,7.3,"NM_001200963.1 Ictalurus punctatus tubulin polymerization-promoting protein family member 3 (tppp3), mRNA",tppp3
116,NM_001200988.1,TE_00002031_LTR,C,__ClassII_DNA_TcMar_MITE,308,997,1268,272,13,2.9,3.7,"NM_001200988.1 Ictalurus punctatus stomatin (stom), mRNA",stom
117,NM_001200993.1,TE_00001651,C,__ClassII_DNA_hAT_nMITE,1448,852,937,86,23.3,10.5,0,"NM_001200993.1 Ictalurus punctatus sh2 domain-containing protein 1b (sh21b), mRNA",sh21b
118,NM_001200995.1,TE_00003965,C,__ClassII_DNA_TcMar_nMITE,3166,292,828,537,0,0,1.3,"NM_001200995.1 Ictalurus punctatus fam100a (f100a), mRNA",f100a
119,NM_001201015.1,TE_00002952_INT,C,__ClassII_DNA_CACTA_nMITE,9359,89,1165,1077,24.64,2.18,1.3,"NM_001201015.1 Ictalurus punctatus pepsin A (pepa), mRNA",pepa
120,NM_001201015.1,TE_00002571_LTR,C,__ClassII_DNA_TcMar_nMITE,840,783,930,148,25.5,0,2.1,"NM_001201015.1 Ictalurus punctatus pepsin A (pepa), mRNA",pepa
121,NM_001201019.1,TE_00002452,+,__ClassII_DNA_hAT_nMITE,4638,122,481,360,23.75,0,0.2,"NM_001201019.1 Ictalurus punctatus hemoglobin subunit beta (hbb), mRNA",hbb
122,NM_001201037.1,TE_00001443,C,__ClassI_nLTR_LINE_RTE,1313,300,757,458,4,0,0,"NM_001201037.1 Ictalurus punctatus HD domain containing 2 (hddc2), mRNA",hddc2
123,NM_001201046.1,TE_00003241,+,__ClassII_DNA_hAT_nMITE,3775,661,747,87,32.2,0,0,"NM_001201046.1 Ictalurus punctatus phosphatidylethanolamine binding protein 1 (pebp1), mRNA",pebp1
124,NM_001201047.1,TE_00003424,+,__ClassII_DNA_hAT_nMITE,876,3,175,173,17,1.2,8,"NM_001201047.1 Ictalurus punctatus mitochondrial NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2 (ndub2), mRNA","c""ubiquinone"", ""ndub2"""
125,NM_001201056.1,TE_00002452,C,__ClassII_DNA_hAT_nMITE,4638,21,456,436,23.75,19.2,0.8,"NM_001201056.1 Ictalurus punctatus hemoglobin embryonic subunit alpha (hbae), mRNA",hbae
126,NM_001201063.1,TE_00002711,+,__ClassI_LTR_Gypsy,1264,451,579,129,20.3,9.2,2,"NM_001201063.1 Ictalurus punctatus uncharacterized protein c2orf64-like protein (cb064), mRNA",cb064
